No.,Month,Year,Line,Number_Accident,Delay,Solving_Problem,Traction_System,Brake_System,Door_System,Electrification_System,Rail/Third Rail,Turnout_Point_Machine,Axel_Counter,Signalling_System,External,Other
290,กุมภาพันธ์,2568,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
291,กุมภาพันธ์,2568,สายสีทอง,4,21,108,0,0,0,0,1,3,0,0,0,0
292,กุมภาพันธ์,2568,สายสีน้ำเงิน ,1,36,0,0,0,0,0,0,0,0,1,0,0
293,กุมภาพันธ์,2568,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
294,กุมภาพันธ์,2568,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),0,0,0,0,0,0,0,0,0,0,0,0,0
295,กุมภาพันธ์,2568,สายสีแดงเหนือ,0,0,0,0,0,0,0,0,0,0,0,0,0
296,กุมภาพันธ์,2568,สายสีแดงตะวันตก,1,0,0,0,0,0,0,0,0,0,0,1,0
297,กุมภาพันธ์,2568,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
298,กุมภาพันธ์,2568,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
299,มีนาคม,2568,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
300,มีนาคม,2568,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
301,มีนาคม,2568,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
302,มีนาคม,2568,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
303,มีนาคม,2568,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
304,มีนาคม,2568,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),4,30,45,0,0,1,0,0,1,0,1,1,0
305,มีนาคม,2568,สายสีแดงเหนือ,1,0,146,0,0,0,0,0,0,1,0,0,0
306,มีนาคม,2568,สายสีแดงตะวันตก,1,0,131,0,0,0,0,0,0,0,0,1,0
307,มีนาคม,2568,สายสีเหลือง,0,0,0,0,0,0,0,0,0,0,0,0,0
308,มีนาคม,2568,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
309,เมษายน,2568,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
310,เมษายน,2568,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
311,เมษายน,2568,สายสีทอง,2,20,173,0,0,0,0,0,2,0,0,0,0
312,เมษายน,2568,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
313,เมษายน,2568,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
314,เมษายน,2568,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),2,33,0,0,1,0,0,0,0,0,0,0,1
315,เมษายน,2568,สายสีแดงเหนือ,2,0,31,0,0,0,1,0,0,0,0,1,0
316,เมษายน,2568,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
317,เมษายน,2568,สายสีเหลือง,1,15,0,0,0,0,0,0,0,0,0,0,0
318,เมษายน,2568,สายสีชมพู,0,0,0,0,1,0,0,0,0,0,0,0,0
319,พฤษภาคม,2568,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
320,พฤษภาคม,2568,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
321,พฤษภาคม,2568,สายสีทอง,0,0,0,0,0,0,0,0,0,0,0,0,0
322,พฤษภาคม,2568,สายสีน้ำเงิน ,1,0,55,0,0,0,0,0,0,0,1,0,0
323,พฤษภาคม,2568,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
324,พฤษภาคม,2568,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),3,63,37,2,0,0,0,0,1,0,0,0,0
325,พฤษภาคม,2568,สายสีแดงเหนือ,3,30,304,0,0,0,0,0,0,1,0,2,0
326,พฤษภาคม,2568,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
327,พฤษภาคม,2568,สายสีเหลือง,1,7,56,0,0,0,0,0,1,0,0,0,0
328,พฤษภาคม,2568,สายสีชมพู,0,0,0,0,0,0,0,0,0,0,0,0,0
329,มิถุนายน,2568,สายสีเขียว (สายสุขุมวิท),0,0,0,0,0,0,0,0,0,0,0,0,0
330,มิถุนายน,2568,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
331,มิถุนายน,2568,สายสีทอง,1,8,36,0,0,0,0,0,1,0,0,0,0
332,มิถุนายน,2568,สายสีน้ำเงิน ,1,44,90,0,0,0,0,0,1,0,0,0,0
333,มิถุนายน,2568,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
334,มิถุนายน,2568,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),1,13,0,0,0,1,0,0,0,0,0,0,0
335,มิถุนายน,2568,สายสีแดงเหนือ,1,11,0,0,0,0,0,0,0,1,0,0,0
336,มิถุนายน,2568,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
337,มิถุนายน,2568,สายสีเหลือง,2,183,346,0,0,0,0,1,1,0,0,0,0
338,มิถุนายน,2568,สายสีชมพู,1,49,0,0,0,0,0,0,1,0,0,0,0
339,กรกฎาคม,2568,สายสีเขียว (สายสุขุมวิท),2,57,64,0,0,0,0,2,0,0,0,0,0
340,กรกฎาคม,2568,สายสีเขียว (สายสีลม),1,12,153,0,0,0,0,0,0,0,0,0,1
341,กรกฎาคม,2568,สายสีทอง,1,8,54,0,0,0,0,0,1,0,0,0,0
342,กรกฎาคม,2568,สายสีน้ำเงิน ,2,20,53,0,0,0,0,0,0,0,2,0,0
